@relation gestures

@attribute XMax numeric
@attribute XMean numeric
@attribute XPercentile numeric
@attribute ZMax numeric
@attribute ZMean numeric
@attribute ZPercentile numeric
@attribute gestureName {1, L, N, 2}

@data
2717.8888888888887,7875.222222222223,5299.0,11404.0,5298.8,11363.3,1
3797.0909090909095,7995.909090909091,6376.0,9639.0,6368.8,9617.6,1
2451.777777777778,7144.555555555556,5377.0,10001.0,5377.0,10001.0,1
2754.1428571428573,7976.642857142857,5242.0,9615.0,5190.5,9594.5,1
2273.4,8600.8,4354.0,9580.0,4120.6,9578.8,1
3319.6428571428573,7160.0,4375.0,8467.0,4365.5,8292.0,1
4191.111111111111,9377.222222222223,4785.0,11028.0,4785.0,11028.0,1
3793.25,6984.625,4619.0,8404.0,4619.0,8404.0,1
2057.4166666666665,7559.0,5109.0,10768.0,5024.400000000001,10414.000000000002,1
3072.785714285714,7552.5,5051.0,10030.0,4943.0,9787.5,1
2432.666666666667,7246.333333333333,6156.0,14062.0,5986.500000000001,12594.400000000005,1
2652.0,8065.6,6109.0,14561.0,6089.5,14404.900000000001,1
2747.333333333333,6696.5,6954.0,12307.0,6951.9,11139.400000000005,1
1303.6666666666663,8603.133333333333,3709.0,12854.0,3676.0,12822.2,1
4039.692307692307,7824.923076923077,6488.0,12400.0,6355.2,12327.2,1
1485.4285714285713,7074.642857142857,7552.0,11042.0,7186.0,10845.0,1
3520.6923076923076,8081.615384615385,7484.0,11847.0,7475.2,11583.8,1
1969.6111111111109,6626.222222222223,7419.0,12086.0,7280.400000000001,9920.600000000004,1
2041.1666666666667,8212.5,2387.0,11452.0,2387.0,11452.0,1
2863.454545454545,8982.272727272728,4421.0,19347.0,4402.8,17624.800000000007,1
3373.5454545454545,7953.181818181818,5302.0,11753.0,5285.2,11657.4,1
3290.0,7780.272727272727,4777.0,11618.0,4771.0,11173.2,1
3072.0,7490.714285714285,5386.0,10623.0,5268.0,10526.5,1
2739.75,8952.75,3661.0,11117.0,3650.5,11093.3,1
3110.6363636363635,8087.363636363636,4556.0,9549.0,4545.6,9546.2,1
1784.6666666666665,9273.083333333334,4557.0,22541.0,4305.300000000001,22492.1,1
866.1875,9721.0625,4990.0,17846.0,4740.8,16152.000000000002,1
1393.9166666666665,6172.25,5147.0,10232.0,5082.5,9966.5,1
2437.133333333333,9158.866666666667,5239.0,19721.0,4851.400000000001,14897.000000000004,1
3114.75,8212.166666666666,5251.0,14107.0,5101.3,13673.500000000002,1
2022.3636363636365,7907.090909090909,4822.0,10960.0,4816.6,10871.2,1
3484.375,7870.625,5597.0,11350.0,5597.0,11350.0,1
2302.4666666666667,8491.266666666666,4606.0,13187.0,4598.2,12936.8,1
3229.625,7085.125,4885.0,11500.0,4885.0,11500.0,1
3652.6428571428573,7274.785714285715,6267.0,10893.0,6067.0,10862.0,1
1515.9166666666665,7107.25,3190.0,11242.0,3181.0,10951.6,1
2981.3846153846152,8558.461538461539,5490.0,11537.0,5490.0,11413.8,1
1751.375,7744.75,6876.0,9576.0,6856.4,9539.6,1
1230.2666666666669,8170.733333333334,2686.0,11661.0,2587.6,10604.400000000001,1
1766.8333333333335,8351.0,3574.0,9968.0,3421.9000000000005,9809.6,1
1985.1428571428573,8321.92857142857,3787.0,9512.0,3786.0,9460.0,1
2905.3846153846152,8051.0,4768.0,9799.0,4586.4,9665.8,1
2031.75,7622.25,5141.0,9153.0,5141.0,9153.0,1
3568.3,8337.4,4209.0,9810.0,4209.0,9800.4,1
2060.4166666666665,8102.5,3898.0,9406.0,3877.6,9397.3,1
2710.923076923077,7606.923076923077,4607.0,9244.0,4595.0,9180.0,1
2541.25,8377.416666666666,4420.0,10180.0,4418.2,10089.7,1
1690.1818181818182,8762.363636363636,3841.0,10181.0,3791.2000000000003,10104.2,1
2439.9166666666665,8063.083333333333,4203.0,10006.0,4166.1,9814.900000000001,1
1048.4444444444441,7953.5,4638.0,12074.0,4602.9,9660.200000000004,1
1712.2142857142858,7961.0,4412.0,9249.0,4315.5,9226.0,1
964.375,8496.9375,2504.0,22700.0,2232.4,17064.300000000007,L
809.75,8558.875,3227.0,13849.0,3143.0,12990.1,L
542.1666666666667,9704.333333333334,2462.0,17356.0,2393.6000000000004,16826.800000000003,L
512.5833333333333,8426.916666666666,2715.0,17217.0,2676.3,15554.700000000006,L
1087.6666666666665,7553.416666666667,3565.0,14778.0,3527.5,13301.700000000004,L
1418.3076923076924,8737.307692307691,4276.0,21265.0,4262.4,18746.999999999996,L
1607.7142857142856,7872.714285714285,4151.0,18111.0,4112.0,17919.5,L
1000.5,8587.0,3070.0,11113.0,2946.4000000000005,10911.1,L
1326.076923076923,8003.2307692307695,4088.0,21868.0,4079.2,17679.199999999997,L
935.7272727272725,10398.0,4314.0,21528.0,4182.400000000001,21252.600000000002,L
1393.7857142857144,7363.428571428572,3401.0,13042.0,3022.5,12912.0,L
1102.0714285714287,8979.92857142857,4782.0,21761.0,4720.0,15896.0,L
1126.25,6945.0,2729.0,9234.0,2729.0,9234.0,L
1634.923076923077,9512.923076923076,4152.0,15246.0,4096.0,15216.8,L
871.4285714285713,7469.071428571429,5081.0,20762.0,4777.0,15967.5,L
1262.3333333333335,9229.583333333334,3505.0,15601.0,3464.2000000000003,15298.900000000001,L
425.0,8121.818181818182,3720.0,21928.0,3576.6000000000004,19464.40000000001,L
1954.909090909091,8455.0,4037.0,12990.0,3890.8000000000006,12675.000000000002,L
1567.625,9403.875,4010.0,14480.0,4010.0,14480.0,L
-74.75,8085.5625,3831.0,12018.0,2700.500000000001,11924.9,L
1064.0,8499.57142857143,5336.0,14016.0,4922.5,13476.0,L
807.083333333333,8569.25,4045.0,11864.0,3894.4000000000005,11469.2,L
2302.8,-6382.4,4255.0,5561.0,4255.0,5561.0,L
349.1999999999998,7553.0,4909.0,30895.0,4811.8,19945.600000000006,L
886.0769230769232,8778.461538461539,3319.0,14687.0,3176.6,14639.0,L
-65.0,7680.0,4269.0,18194.0,3844.2000000000016,17774.0,L
-670.0,8315.357142857143,3845.0,17667.0,3266.0,15742.0,L
25.428571428571377,7093.5,5344.0,15128.0,4947.5,12433.5,L
1424.5833333333333,8370.416666666666,6284.0,13785.0,6004.100000000001,13558.2,L
1277.277777777778,6160.444444444444,3484.0,16118.0,3458.8,11105.900000000009,L
977.4285714285712,7064.357142857143,3502.0,11456.0,3450.5,11269.5,L
2207.3125,7204.75,5980.0,12060.0,5969.5,11129.7,L
1224.2941176470588,8979.470588235294,4014.0,15717.0,3821.2,13732.199999999999,L
3861.2,7432.4,4457.0,12378.0,4457.0,12378.0,L
1359.3333333333335,8157.166666666667,4284.0,11161.0,3898.5000000000014,11124.7,L
-2045.3076923076928,8370.76923076923,4140.0,28912.0,3484.3999999999996,25337.6,N
-3669.333333333333,9624.666666666666,4199.0,27167.0,3614.6000000000004,22128.800000000003,N
-3002.0,3026.166666666667,4364.0,15602.0,2943.800000000005,14631.500000000004,N
-3067.5,8345.166666666668,117.0,25318.0,49.200000000000244,22918.30000000001,N
-694.7777777777778,7044.0,366.0,27312.0,366.0,27312.0,N
-1132.3571428571427,9196.5,4639.0,19107.0,3379.5,19076.0,N
-1514.1666666666665,8077.833333333334,711.0,25106.0,662.4000000000002,21143.600000000013,N
-2688.2,8602.2,2379.0,11357.0,2379.0,11357.0,N
-2132.3,9075.6,736.0,16173.0,680.7000000000003,16152.2,N
-1672.125,8987.5,-667.0,24327.0,-667.0,24327.0,N
-4013.846153846154,14189.615384615385,535.0,29034.0,-307.0000000000007,28936.4,N
-3798.214285714286,5191.357142857143,948.0,21501.0,-123.0,17155.0,N
-567.111111111111,8009.666666666666,1673.0,24615.0,1673.0,24615.0,N
-2358.8571428571427,10596.571428571428,1640.0,21232.0,1521.5,21092.0,N
-180.75,10106.833333333332,2717.0,30371.0,2583.5000000000005,29312.900000000005,N
-1406.4666666666665,6311.0,3973.0,23666.0,2566.000000000001,23654.6,N
-1604.6428571428573,8286.07142857143,1849.0,29452.0,1208.0,26890.5,N
-2402.0,9877.0,4186.0,29793.0,3480.7000000000025,26152.800000000014,N
